offerid,clientofferregid,client first name,client last name,client dob,client refinternal,client refexternal,client email,client alternative email,client mobile,enrolment status,client post add1,client post add2,client post suburb,client post pc,client post state,nz ethnicity 1,nz ethnicity 2,nz ethnicity 3,client passport number,client country of nationality,visa number,visa expiry date,course code,course desc,course offer code,course offer desc,cor start date,cor end date,course offer trainer first name,course offer trainer last name,unit code,unit desc,unit offer code,unit offer description,cuor start date,cuor end date,outcome code,outcome desc,cuor final,cuor theory,cuor practical,nz studylink status,nz studylink reason,nz foreign fee,nzqa awarding provider,unit efts factor,cuor efts factor,cuor nzqa result code,cuor nzqa result desc,unit offer location,hasstudentphoto,targetgroupclientofferregid,finalid,enrolmentid,iwi1,iwi2,iwi3,cuor fund source description,cuor fund source code,forsdr,cor target group,cuor result code,cuor result desc
258,8928,AAAA,B,15/04/1981,,20207874,20207874@mywhitecliffe.com,AAAAB@yahoo.co.nz,64278821243,Current,58 O'Reilly Road,Lincoln,New Plymouth,4310,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/2023,08/12/2023,,,IT5008,Database Administration and Management,IT5008_Q4_2025,Database Administration and Management,09/10/2023,08/12/2023,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.375,,,Christchurch (Computer Power Plus),TRUE,,,-76753,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),49,TRUE,,,
286,10111,CCC,C,30/06/2003,,20207875,20207875@mywhitecliffe.com,CCCC@yahoo.co.nz,64278821244,Current,3 Cracroft Street,Waitara,,,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/2023,08/12/2023,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/2023,08/12/2023,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.4125,,,New Plymouth,FALSE,,,-96914.7,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),50.8,TRUE,,,
286,10113,BBB,D,30/08/1998,,20207876,20207876@mywhitecliffe.com,BBBD@yahoo.co.nz,64278821245,Withdrawn,502 Rarawa Place,Vogel Town,New Plymouth,4320,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/2023,08/12/2023,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/2023,08/12/2023,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,0.45,,,New Plymouth,FALSE,,,-117076.4,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),52.6,TRUE,,,
441,7203,AAA,A,02/07/1989,,20207877,20207877@mywhitecliffe.com,AAAA@yahoo.co.nz,64278821246,Withdrawn,4503 Winfield Drive Wigram,Christchurch,New Plymouth,4310,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2598,CPP-NZC-Information Technology-2022 - N,09/09/2022,27/01/2023,,,IT5015D,Information Systems,IT5015D_Q3_2026,Information Systems,09/10/2023,08/12/2023,,,,,,,,,,0.125,0.4875,,,Courses delivered extramurally or by distance,FALSE,,,-137238.1,,,,Non-funded Confirmed Student Enrolment,54.4,TRUE,,,
258,5576,AAAA,B,15/04/1981,,20207878,20207878@mywhitecliffe.com,AAAAB@yahoo.co.nz,64278821247,Current,59 O'Reilly Road,Lincoln,,,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/2023,08/12/2023,,,IT5008,Database Administration and Management,IT5008_Q4_2026,Database Administration and Management,09/10/2023,08/12/2023,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.525,,,Christchurch (Computer Power Plus),TRUE,,,-157399.8,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),56.2,TRUE,,,
286,3949,CCC,C,30/06/2003,,20207879,20207879@mywhitecliffe.com,CCCC@yahoo.co.nz,64278821248,Current,4 Cracroft Street,Waitara,New Plymouth,4320,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/2023,08/12/2023,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/2023,08/12/2023,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.5625,,,New Plymouth,FALSE,,,-177561.5,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),58,TRUE,,,
286,2322,BBB,D,30/08/1998,,20207880,20207880@mywhitecliffe.com,BBBD@yahoo.co.nz,64278821249,Withdrawn,503 Rarawa Place,Vogel Town,New Plymouth,4310,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/2023,08/12/2023,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/2023,08/12/2023,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,0.6,,,New Plymouth,FALSE,,,-197723.2,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),59.8,TRUE,,,
441,15931,AAA,A,02/07/1989,,20207881,20207881@mywhitecliffe.com,AAAA@yahoo.co.nz,64278821250,Withdrawn,4504 Winfield Drive Wigram,Christchurch,,,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2599,CPP-NZC-Information Technology-2022 - N,09/09/2022,27/01/2023,,,IT5015D,Information Systems,IT5015D_Q3_2027,Information Systems,09/10/2023,08/12/2023,,,,,,,,,,0.125,0.6375,,,Courses delivered extramurally or by distance,FALSE,,,-217884.9,,,,Non-funded Confirmed Student Enrolment,61.6,TRUE,,,
258,8928,AAAA,B,15/04/1981,,20207882,20207882@mywhitecliffe.com,AAAAB@yahoo.co.nz,64278821251,Current,60 O'Reilly Road,Lincoln,New Plymouth,4320,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/2023,08/12/2023,,,IT5008,Database Administration and Management,IT5008_Q4_2027,Database Administration and Management,09/10/2023,08/12/2023,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.675,,,Christchurch (Computer Power Plus),TRUE,,,-238046.6,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),63.4,TRUE,,,
286,10111,CCC,C,30/06/2003,,20207883,20207883@mywhitecliffe.com,CCCC@yahoo.co.nz,64278821252,Current,5 Cracroft Street,Waitara,New Plymouth,4310,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/2023,08/12/2023,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/2023,08/12/2023,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.7125,,,New Plymouth,FALSE,,,-258208.3,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),65.2,TRUE,,,
286,10113,BBB,D,30/08/1998,,20207884,20207884@mywhitecliffe.com,BBBD@yahoo.co.nz,64278821253,Withdrawn,504 Rarawa Place,Vogel Town,,,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/2023,08/12/2023,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/2023,08/12/2023,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,0.75,,,New Plymouth,FALSE,,,-278370,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),67,TRUE,,,
