offerid,clientofferregid,client first name,client last name,client dob,client refinternal,client refexternal,client email,client alternative email,client mobile,enrolment status,client post add1,client post add2,client post suburb,client post pc,client post state,nz ethnicity 1,nz ethnicity 2,nz ethnicity 3,client passport number,client country of nationality,visa number,visa expiry date,course code,course desc,course offer code,course offer desc,cor start date,cor end date,course offer trainer first name,course offer trainer last name,unit code,unit desc,unit offer code,unit offer description,cuor start date,cuor end date,outcome code,outcome desc,cuor final,cuor theory,cuor practical,nz studylink status,nz studylink reason,nz foreign fee,nzqa awarding provider,unit efts factor,cuor efts factor,cuor nzqa result code,cuor nzqa result desc,unit offer location,hasstudentphoto,targetgroupclientofferregid,finalid,enrolmentid,iwi1,iwi2,iwi3,cuor fund source description,cuor fund source code,forsdr,cor target group,cuor result code,cuor result desc
258,8928,AAAA,B,15/04/81,,2020774,2020774@whitecliffe.com,AAAAB@yahoo.co.nz,64278821243,Current,58 O'Reilly Road,Lincoln,New Plymouth,4310,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/23,08/12/23,,,IT5008,Database Administration and Management,IT5008_Q4_2025,Database Administration and Management,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.375,,,Christchurch (Computer Power Plus),TRUE,,,-76753,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),49,TRUE,,,
286,10111,CCC,C,30/06/03,,2020775,2020775@whitecliffe.com,CCCC@yahoo.co.nz,64278821244,Current,3 Cracroft Street,Waitara,,,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.4125,,,New Plymouth,FALSE,,,-96914.7,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),50.8,TRUE,,,
286,10113,BBB,D,30/08/98,,2020776,2020776@whitecliffe.com,BBBD@yahoo.co.nz,64278821245,Withdrawn,502 Rarawa Place,Vogel Town,New Plymouth,4320,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,0.45,,,New Plymouth,FALSE,,,-117076.4,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),52.6,TRUE,,,
441,7203,AAA,A,02/07/89,,2020777,2020777@whitecliffe.com,AAAA@yahoo.co.nz,64278821246,Withdrawn,4503 Winfield Drive Wigram,Christchurch,New Plymouth,4310,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2598,CPP-NZC-Information Technology-2022 - N,09/09/22,27/01/23,,,IT5015D,Information Systems,IT5015D_Q3_2026,Information Systems,09/10/23,08/12/23,,,,,,,,,,0.125,0.4875,,,Courses delivered extramurally or by distance,FALSE,,,-137238.1,,,,Non-funded Confirmed Student Enrolment,54.4,TRUE,,,
258,5576,AAAA,B,15/04/81,,2020778,2020778@whitecliffe.com,AAAAB@yahoo.co.nz,64278821247,Current,59 O'Reilly Road,Lincoln,,,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/23,08/12/23,,,IT5008,Database Administration and Management,IT5008_Q4_2026,Database Administration and Management,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.525,,,Christchurch (Computer Power Plus),TRUE,,,-157399.8,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),56.2,TRUE,,,
286,3949,CCC,C,30/06/03,,2020779,2020779@whitecliffe.com,CCCC@yahoo.co.nz,64278821248,Current,4 Cracroft Street,Waitara,New Plymouth,4320,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.5625,,,New Plymouth,FALSE,,,-177561.5,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),58,TRUE,,,
286,2322,BBB,D,30/08/98,,2020780,2020780@whitecliffe.com,BBBD@yahoo.co.nz,64278821249,Withdrawn,503 Rarawa Place,Vogel Town,New Plymouth,4310,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,0.6,,,New Plymouth,FALSE,,,-197723.2,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),59.8,TRUE,,,
441,15931,AAA,A,02/07/89,,2020770,2020770@whitecliffe.com,AAAA@yahoo.co.nz,64278821250,Withdrawn,4504 Winfield Drive Wigram,Christchurch,,,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2599,CPP-NZC-Information Technology-2022 - N,09/09/22,27/01/23,,,IT5015D,Information Systems,IT5015D_Q3_2027,Information Systems,09/10/23,08/12/23,,,,,,,,,,0.125,0.6375,,,Courses delivered extramurally or by distance,FALSE,,,-217884.9,,,,Non-funded Confirmed Student Enrolment,61.6,TRUE,,,
258,8928,AAAA,B,15/04/81,,2020771,2020771@whitecliffe.com,AAAAB@yahoo.co.nz,64278821251,Current,60 O'Reilly Road,Lincoln,New Plymouth,4320,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/23,08/12/23,,,IT5008,Database Administration and Management,IT5008_Q4_2027,Database Administration and Management,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.675,,,Christchurch (Computer Power Plus),TRUE,,,-238046.6,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),63.4,TRUE,,,
286,10111,CCC,C,30/06/03,,2020772,2020772@whitecliffe.com,CCCC@yahoo.co.nz,64278821252,Current,5 Cracroft Street,Waitara,New Plymouth,4310,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.7125,,,New Plymouth,FALSE,,,-258208.3,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),65.2,TRUE,,,
286,10113,BBB,D,30/08/98,,2020773,2020773@whitecliffe.com,BBBD@yahoo.co.nz,64278821253,Withdrawn,504 Rarawa Place,Vogel Town,,,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,0.75,,,New Plymouth,FALSE,,,-278370,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),67,TRUE,,,
441,7203,AAA,A,02/07/89,,2020774,2020774@whitecliffe.com,AAAA@yahoo.co.nz,64278821254,Withdrawn,4505 Winfield Drive Wigram,Christchurch,New Plymouth,4320,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2600,CPP-NZC-Information Technology-2022 - N,09/09/22,27/01/23,,,IT5015D,Information Systems,IT5015D_Q3_2028,Information Systems,09/10/23,08/12/23,,,,,,,,,,0.125,0.7875,,,Courses delivered extramurally or by distance,FALSE,,,-298531.7,,,,Non-funded Confirmed Student Enrolment,68.8,TRUE,,,
258,5576,AAAA,B,15/04/81,,2020775,2020775@whitecliffe.com,AAAAB@yahoo.co.nz,64278821255,Current,61 O'Reilly Road,Lincoln,New Plymouth,4310,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/23,08/12/23,,,IT5008,Database Administration and Management,IT5008_Q4_2028,Database Administration and Management,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.825,,,Christchurch (Computer Power Plus),TRUE,,,-318693.4,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),70.6,TRUE,,,
286,3949,CCC,C,30/06/03,,2020787,2020787@whitecliffe.com,CCCC@yahoo.co.nz,64278821256,Current,6 Cracroft Street,Waitara,,,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.8625,,,New Plymouth,FALSE,,,-338855.1,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),72.4,TRUE,,,
286,2322,BBB,D,30/08/98,,2020788,2020788@whitecliffe.com,BBBD@yahoo.co.nz,64278821257,Withdrawn,505 Rarawa Place,Vogel Town,New Plymouth,4320,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,0.9,,,New Plymouth,FALSE,,,-359016.8,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),74.2,TRUE,,,
441,15931,AAA,A,02/07/89,,2020789,2020789@whitecliffe.com,AAAA@yahoo.co.nz,64278821258,Withdrawn,4506 Winfield Drive Wigram,Christchurch,New Plymouth,4310,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2601,CPP-NZC-Information Technology-2022 - N,09/09/22,27/01/23,,,IT5015D,Information Systems,IT5015D_Q3_2029,Information Systems,09/10/23,08/12/23,,,,,,,,,,0.125,0.9375,,,Courses delivered extramurally or by distance,FALSE,,,-379178.5,,,,Non-funded Confirmed Student Enrolment,76,TRUE,,,
258,8928,AAAA,B,15/04/81,,2020790,2020790@whitecliffe.com,AAAAB@yahoo.co.nz,64278821259,Current,62 O'Reilly Road,Lincoln,,,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/23,08/12/23,,,IT5008,Database Administration and Management,IT5008_Q4_2029,Database Administration and Management,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.975,,,Christchurch (Computer Power Plus),TRUE,,,-399340.2,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),77.8,TRUE,,,
286,10111,CCC,C,30/06/03,,2020791,2020791@whitecliffe.com,CCCC@yahoo.co.nz,64278821260,Current,7 Cracroft Street,Waitara,New Plymouth,4320,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,1.0125,,,New Plymouth,FALSE,,,-419501.9,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),79.6,TRUE,,,
286,10113,BBB,D,30/08/98,,2020792,2020792@whitecliffe.com,BBBD@yahoo.co.nz,64278821261,Withdrawn,506 Rarawa Place,Vogel Town,New Plymouth,4310,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,1.05,,,New Plymouth,FALSE,,,-439663.6,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),81.4,TRUE,,,
441,7203,AAA,A,02/07/89,,2020793,2020793@whitecliffe.com,AAAA@yahoo.co.nz,64278821262,Withdrawn,4507 Winfield Drive Wigram,Christchurch,,,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2602,CPP-NZC-Information Technology-2022 - N,09/09/22,27/01/23,,,IT5015D,Information Systems,IT5015D_Q3_2030,Information Systems,09/10/23,08/12/23,,,,,,,,,,0.125,1.0875,,,Courses delivered extramurally or by distance,FALSE,,,-459825.3,,,,Non-funded Confirmed Student Enrolment,83.2,TRUE,,,
258,5576,AAAA,B,15/04/81,,2020794,2020794@whitecliffe.com,AAAAB@yahoo.co.nz,64278821263,Current,63 O'Reilly Road,Lincoln,New Plymouth,4320,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/23,08/12/23,,,IT5008,Database Administration and Management,IT5008_Q4_2030,Database Administration and Management,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,1.125,,,Christchurch (Computer Power Plus),TRUE,,,-479987,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),85,TRUE,,,
286,3949,CCC,C,30/06/03,,2020795,2020795@whitecliffe.com,CCCC@yahoo.co.nz,64278821264,Current,8 Cracroft Street,Waitara,New Plymouth,4310,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,1.1625,,,New Plymouth,FALSE,,,-500148.7,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),86.8,TRUE,,,
286,2322,BBB,D,30/08/98,,2020796,2020796@whitecliffe.com,BBBD@yahoo.co.nz,64278821265,Withdrawn,507 Rarawa Place,Vogel Town,,,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,1.2,,,New Plymouth,FALSE,,,-520310.4,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),88.6,TRUE,,,
